,#YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
1,2008,01,01,00,00,999 99.0 99.0,1.00,12.00,99.00,999,9999.0,999.0,14.3,999.0,99.0,99.00
2,2008,01,01,01,00,999 99.0 99.0,1.10,14.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
3,2008,01,01,02,00,999 99.0 99.0,1.10,10.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
4,2008,01,01,03,00,999 99.0 99.0,1.00,15.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
5,2008,01,01,04,00,999 99.0 99.0,1.00,15.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
6,2008,01,01,05,00,999 99.0 99.0,1.00,13.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
7,2008,01,01,06,00,999 99.0 99.0,0.90,14.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
8,2008,01,01,07,00,999 99.0 99.0,0.90,13.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
9,2008,01,01,08,00,999 99.0 99.0,0.90,14.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
10,2008,01,01,09,00,999 99.0 99.0,0.80,13.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
11,2008,01,01,10,00,999 99.0 99.0,0.80,13.00,99.00,999,9999.0,999.0,14.1,999.0,99.0,99.00
12,2008,01,01,11,00,999 99.0 99.0,0.70,14.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
13,2008,01,01,12,00,999 99.0 99.0,0.80,12.00,99.00,999,9999.0,999.0,14.1,999.0,99.0,99.00
14,2008,01,01,13,00,999 99.0 99.0,0.80,13.00,99.00,999,9999.0,999.0,14.1,999.0,99.0,99.00
15,2008,01,01,14,00,999 99.0 99.0,0.80,12.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
16,2008,01,01,15,00,999 99.0 99.0,0.80,12.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
17,2008,01,01,16,00,999 99.0 99.0,0.80,13.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
18,2008,01,01,17,00,999 99.0 99.0,0.80,15.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
19,2008,01,01,18,00,999 99.0 99.0,0.80,13.00,99.00,999,9999.0,999.0,14.1,999.0,99.0,99.00
20,2008,01,01,19,00,999 99.0 99.0,0.70,13.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
21,2008,01,01,20,00,999 99.0 99.0,0.80,14.00,99.00,999,9999.0,999.0,14.6,999.0,99.0,99.00
22,2008,01,01,21,00,999 99.0 99.0,0.80,13.00,99.00,999,9999.0,999.0,14.6,999.0,99.0,99.00
23,2008,01,01,22,00,999 99.0 99.0,0.80,13.00,99.00,999,9999.0,999.0,14.6,999.0,99.0,99.00
24,2008,01,01,23,00,999 99.0 99.0,0.70,14.00,99.00,999,9999.0,999.0,14.6,999.0,99.0,99.00
25,2008,01,02,00,00,999 99.0 99.0,0.70,13.00,99.00,999,9999.0,999.0,14.5,999.0,99.0,99.00
26,2008,01,02,01,00,999 99.0 99.0,0.70,13.00,99.00,999,9999.0,999.0,14.4,999.0,99.0,99.00
27,2008,01,02,02,00,999 99.0 99.0,0.70,12.00,99.00,999,9999.0,999.0,14.3,999.0,99.0,99.00
28,2008,01,02,03,00,999 99.0 99.0,0.70,13.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
29,2008,01,02,04,00,999 99.0 99.0,0.60,13.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
30,2008,01,02,05,00,999 99.0 99.0,0.60,11.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
31,2008,01,02,06,00,999 99.0 99.0,0.60,12.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
32,2008,01,02,07,00,999 99.0 99.0,0.60,13.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
33,2008,01,02,08,00,999 99.0 99.0,0.70,13.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
34,2008,01,02,09,00,999 99.0 99.0,0.60,12.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
35,2008,01,02,10,00,999 99.0 99.0,0.70,13.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
36,2008,01,02,11,00,999 99.0 99.0,0.60,13.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
37,2008,01,02,12,00,999 99.0 99.0,0.50,13.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
38,2008,01,02,13,00,999 99.0 99.0,0.50,13.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
39,2008,01,02,14,00,999 99.0 99.0,0.70,12.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
40,2008,01,02,15,00,999 99.0 99.0,0.60,12.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
41,2008,01,02,16,00,999 99.0 99.0,0.50,12.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
42,2008,01,02,17,00,999 99.0 99.0,0.60,12.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
43,2008,01,02,18,00,999 99.0 99.0,0.60,12.00,99.00,999,9999.0,999.0,14.0,999.0,99.0,99.00
44,2008,01,02,19,00,999 99.0 99.0,0.50,12.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
45,2008,01,02,20,00,999 99.0 99.0,0.50,13.00,99.00,999,9999.0,999.0,14.4,999.0,99.0,99.00
46,2008,01,02,21,00,999 99.0 99.0,0.50,12.00,99.00,999,9999.0,999.0,14.6,999.0,99.0,99.00
47,2008,01,02,22,00,999 99.0 99.0,0.40,12.00,99.00,999,9999.0,999.0,14.5,999.0,99.0,99.00
48,2008,01,02,23,00,999 99.0 99.0,0.50,12.00,99.00,999,9999.0,999.0,14.6,999.0,99.0,99.00
49,2008,01,03,00,00,999 99.0 99.0,0.50,12.00,99.00,999,9999.0,999.0,14.6,999.0,99.0,99.00
50,2008,01,03,01,00,999 99.0 99.0,0.50,12.00,99.00,999,9999.0,999.0,14.6,999.0,99.0,99.00
51,2008,01,03,02,00,999 99.0 99.0,0.50,12.00,99.00,999,9999.0,999.0,14.6,999.0,99.0,99.00
52,2008,01,03,03,00,999 99.0 99.0,0.50,12.00,99.00,999,9999.0,999.0,14.5,999.0,99.0,99.00
53,2008,01,03,04,00,999 99.0 99.0,0.40,12.00,99.00,999,9999.0,999.0,14.4,999.0,99.0,99.00
54,2008,01,03,05,00,999 99.0 99.0,0.50,12.00,99.00,999,9999.0,999.0,14.3,999.0,99.0,99.00
55,2008,01,03,06,00,999 99.0 99.0,0.50,12.00,99.00,999,9999.0,999.0,14.4,999.0,99.0,99.00
56,2008,01,03,07,00,999 99.0 99.0,0.50,14.00,99.00,999,9999.0,999.0,14.2,999.0,99.0,99.00
