#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 14 999 99.0 99.0  1.06 14.29  7.43 269 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 00 44 999 99.0 99.0  1.08 13.33  7.36 268 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 01 14 999 99.0 99.0  1.12 14.29  8.04 266 9999.0 999.0  15.1 999.0 99.0 99.00
2010 01 01 01 44 999 99.0 99.0  1.04 13.33  7.97 270 9999.0 999.0  15.1 999.0 99.0 99.00
2010 01 01 02 14 999 99.0 99.0  1.03 13.33  8.04 280 9999.0 999.0  15.1 999.0 99.0 99.00
2010 01 01 02 44 999 99.0 99.0  0.98 14.29  8.01 262 9999.0 999.0  15.1 999.0 99.0 99.00
2010 01 01 03 14 999 99.0 99.0  0.94 13.33  7.90 273 9999.0 999.0  15.1 999.0 99.0 99.00
2010 01 01 03 44 999 99.0 99.0  0.99 13.33  8.29 272 9999.0 999.0  15.1 999.0 99.0 99.00
2010 01 01 04 14 999 99.0 99.0  0.96 14.29  8.39 263 9999.0 999.0  15.1 999.0 99.0 99.00
2010 01 01 04 44 999 99.0 99.0  0.96 13.33  8.78 268 9999.0 999.0  15.1 999.0 99.0 99.00
2010 01 01 05 14 999 99.0 99.0  0.96 13.33  8.78 279 9999.0 999.0  15.1 999.0 99.0 99.00
2010 01 01 05 44 999 99.0 99.0  0.97 11.11  8.86 275 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 06 14 999 99.0 99.0  1.00 11.11  8.76 275 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 06 44 999 99.0 99.0  0.96 13.33  8.53 273 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 07 14 999 99.0 99.0  1.00 11.11  8.47 275 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 07 44 999 99.0 99.0  1.00 13.33  8.38 280 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 08 14 999 99.0 99.0  1.02 11.11  8.39 279 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 08 44 999 99.0 99.0  1.03 12.50  8.48 266 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 09 14 999 99.0 99.0  1.00 11.76  8.23 276 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 09 44 999 99.0 99.0  0.86 13.33  7.83 283 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 10 14 999 99.0 99.0  0.87 13.33  7.96 277 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 10 44 999 99.0 99.0  0.89 14.29  8.26 262 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 11 14 999 99.0 99.0  0.96 12.50  8.27 280 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 11 44 999 99.0 99.0  0.97 13.33  8.11 266 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 12 14 999 99.0 99.0  0.92 13.33  7.72 270 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 12 44 999 99.0 99.0  1.01 11.76  8.07 269 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 13 14 999 99.0 99.0  0.92 12.50  8.03 276 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 13 44 999 99.0 99.0  0.99 13.33  8.38 280 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 14 14 999 99.0 99.0  0.90 12.50  7.84 262 9999.0 999.0  15.2 999.0 99.0 99.00
2010 01 01 14 44 999 99.0 99.0  0.91 11.76  7.74 273 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 15 14 999 99.0 99.0  0.91 13.33  7.92 268 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 15 44 999 99.0 99.0  0.92 12.50  8.02 269 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 16 14 999 99.0 99.0  0.93 11.76  8.22 275 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 16 44 999 99.0 99.0  0.85 12.50  7.72 277 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 17 14 999 99.0 99.0  0.86 12.50  8.21 273 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 17 44 999 99.0 99.0  0.92 12.50  8.39 282 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 18 14 999 99.0 99.0  0.89 11.76  8.24 280 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 01 18 44 999 99.0 99.0  0.85 11.11  8.43 286 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 01 19 14 999 99.0 99.0  0.92 12.50  8.75 282 9999.0 999.0  15.5 999.0 99.0 99.00
2010 01 01 19 44 999 99.0 99.0  0.90 13.33  8.57 262 9999.0 999.0  15.5 999.0 99.0 99.00
2010 01 01 20 14 999 99.0 99.0  0.88 12.50  8.82 268 9999.0 999.0  15.5 999.0 99.0 99.00
2010 01 01 20 44 999 99.0 99.0  0.87 11.76  8.83 272 9999.0 999.0  15.6 999.0 99.0 99.00
2010 01 01 21 14 999 99.0 99.0  0.85 11.76  8.71 279 9999.0 999.0  15.6 999.0 99.0 99.00
2010 01 01 21 44 999 99.0 99.0  0.88 12.50  9.06 276 9999.0 999.0  15.6 999.0 99.0 99.00
2010 01 01 22 14 999 99.0 99.0  0.91 13.33  9.10 273 9999.0 999.0  15.6 999.0 99.0 99.00
2010 01 01 22 44 999 99.0 99.0  0.88 13.33  8.93 268 9999.0 999.0  15.6 999.0 99.0 99.00
2010 01 01 23 14 999 99.0 99.0  0.82 14.29  8.62 258 9999.0 999.0  15.5 999.0 99.0 99.00
2010 01 01 23 44 999 99.0 99.0  0.84 11.76  8.31 277 9999.0 999.0  15.5 999.0 99.0 99.00
2010 01 02 00 14 999 99.0 99.0  0.84 12.50  8.39 269 9999.0 999.0  15.5 999.0 99.0 99.00
2010 01 02 00 44 999 99.0 99.0  0.82 13.33  8.00 272 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 02 01 14 999 99.0 99.0  0.80 14.29  7.97 252 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 02 01 44 999 99.0 99.0  0.76 11.76  7.52 275 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 02 02 14 999 99.0 99.0  0.79 13.33  7.42 279 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 02 02 44 999 99.0 99.0  0.79 13.33  7.53 272 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 02 03 14 999 99.0 99.0  0.80 13.33  7.54 255 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 02 03 44 999 99.0 99.0  0.74 13.33  7.40 262 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 02 04 14 999 99.0 99.0  0.75 13.33  7.49 263 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 04 44 999 99.0 99.0  0.68 11.76  7.33 277 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 02 05 14 999 99.0 99.0  0.69 13.33  7.73 263 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 05 44 999 99.0 99.0  0.67 12.50  7.79 277 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 06 14 999 99.0 99.0  0.77 13.33  7.85 245 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 02 06 44 999 99.0 99.0  0.71 11.76  7.12 266 9999.0 999.0  15.4 999.0 99.0 99.00
2010 01 02 07 14 999 99.0 99.0  0.74 13.33  6.66 270 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 07 44 999 99.0 99.0  0.74 11.11  6.56 273 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 08 14 999 99.0 99.0  0.75 13.33  6.32 270 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 08 44 999 99.0 99.0  0.81 11.76  6.42 273 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 09 14 999 99.0 99.0  0.79 11.76  6.33 272 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 09 44 999 99.0 99.0  0.72 13.33  6.10 258 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 10 14 999 99.0 99.0  0.83 11.76  7.05 270 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 10 44 999 99.0 99.0  0.78 12.50  6.63 273 9999.0 999.0  15.3 999.0 99.0 99.00
2010 01 02 11 14 999 99.0 99.0  0.76 12.50  6.51 275 9999.0 999.0  15.3 999.0 99.0 99.00
