#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 21 999 99.0 99.0  0.76 10.53  6.85 273 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 00 51 999 99.0 99.0  0.79 13.33  6.72 240 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 01 21 999 99.0 99.0  0.84 14.29  6.76 230 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 01 51 999 99.0 99.0  0.81 13.33  6.32 223 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 02 21 999 99.0 99.0  0.76 12.50  5.76 251 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 02 51 999 99.0 99.0  0.77 14.29  6.23 233 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 03 21 999 99.0 99.0  0.78 12.50  6.10 259 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 03 51 999 99.0 99.0  0.76 11.76  6.17 266 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 04 21 999 99.0 99.0  0.77 12.50  6.19 264 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 04 51 999 99.0 99.0  0.76 13.33  6.51 239 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 05 21 999 99.0 99.0  0.76 12.50  6.76 260 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 05 51 999 99.0 99.0  0.76 13.33  6.82 254 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 06 21 999 99.0 99.0  0.76 12.50  6.96 229 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 06 51 999 99.0 99.0  0.70 12.50  6.66 253 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 07 21 999 99.0 99.0  0.76 12.50  7.41 250 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 07 51 999 99.0 99.0  0.74 11.76  7.22 270 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 01 08 21 999 99.0 99.0  0.67 11.76  6.91 270 9999.0 999.0  16.2 999.0 99.0 99.00
