#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 05 00 19 240  2.6  3.6 99.00 99.00 99.00 999 9999.0  15.8 999.0 999.0 99.0 99.00
2008 03 05 01 20 235  3.8  4.7 99.00 99.00 99.00 999 9999.0  14.8 999.0 999.0 99.0 99.00
2008 03 05 02 19 214  3.1  3.9 99.00 99.00 99.00 999 9999.0  14.2 999.0 999.0 99.0 99.00
2008 03 05 03 20 164  1.6  2.3 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2008 03 05 04 19 139  1.3  2.7 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2008 03 05 05 19 154  1.1  2.1 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2008 03 05 06 19 138  2.6  4.1 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2008 03 05 07 19 144  1.2  2.0 99.00 99.00 99.00 999 9999.0  12.1 999.0 999.0 99.0 99.00
2008 03 05 08 19 135  1.7  2.7 99.00 99.00 99.00 999 9999.0  11.9 999.0 999.0 99.0 99.00
2008 03 05 09 20 142  3.5  6.3 99.00 99.00 99.00 999 9999.0  11.5 999.0 999.0 99.0 99.00
2008 03 05 10 19  39  0.8  2.9 99.00 99.00 99.00 999 9999.0  11.6 999.0 999.0 99.0 99.00
2008 03 05 11 20 122  1.4  2.6 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2008 03 05 12 19 110  2.2  3.7 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2008 03 05 13 19 110  3.1  5.1 99.00 99.00 99.00 999 9999.0  11.9 999.0 999.0 99.0 99.00
2008 03 05 14 20  89  2.7  4.6 99.00 99.00 99.00 999 9999.0  11.6 999.0 999.0 99.0 99.00
2008 03 05 15 19 115  2.4  4.3 99.00 99.00 99.00 999 9999.0  11.9 999.0 999.0 99.0 99.00
2008 03 05 16 19 126  1.7  2.8 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2008 03 05 17 20 202  1.4  2.9 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2008 03 05 18 15 266  0.9  2.7 99.00 99.00 99.00 999 9999.0  15.2 999.0 999.0 99.0 99.00
2008 03 05 21 16 245  4.7  6.0 99.00 99.00 99.00 999 9999.0  14.9 999.0 999.0 99.0 99.00
2008 03 05 22 19 267  2.8  3.6 99.00 99.00 99.00 999 9999.0  15.2 999.0 999.0 99.0 99.00
2008 03 05 23 19 272  2.2  2.9 99.00 99.00 99.00 999 9999.0  15.6 999.0 999.0 99.0 99.00
2008 03 06 00 19 275  1.9  2.9 99.00 99.00 99.00 999 9999.0  16.1 999.0 999.0 99.0 99.00
2008 03 06 01 19 310  2.5  3.2 99.00 99.00 99.00 999 9999.0  16.1 999.0 999.0 99.0 99.00
2008 03 06 02 19 346  2.5  3.1 99.00 99.00 99.00 999 9999.0  14.0 999.0 999.0 99.0 99.00
2008 03 06 03 20  34  1.1  2.3 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2008 03 06 04 19 152  1.0  2.5 99.00 99.00 99.00 999 9999.0  13.2 999.0 999.0 99.0 99.00
2008 03 06 05 20 156  0.8  1.6 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2008 03 06 06 19 327  0.9  2.3 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2008 03 06 07 19  46  0.9  1.6 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2008 03 06 08 19  43  1.0  2.2 99.00 99.00 99.00 999 9999.0  12.3 999.0 999.0 99.0 99.00
2008 03 06 09 19 102  0.4  1.6 99.00 99.00 99.00 999 9999.0  11.9 999.0 999.0 99.0 99.00
2008 03 06 10 19 121  0.8  2.4 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2008 03 06 11 20  76  0.6  1.5 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2008 03 06 12 19  90  1.6  3.0 99.00 99.00 99.00 999 9999.0  11.2 999.0 999.0 99.0 99.00
2008 03 06 13 19 100  0.7  1.4 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2008 03 06 14 19  67  0.7  1.9 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2008 03 06 15 19 164  0.6  1.1 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
