#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 04 01 20 999 99.0 99.0  0.49 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 02 20 999 99.0 99.0  0.50 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 03 20 999 99.0 99.0  0.50 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 05 20 999 99.0 99.0  0.53 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 06 20 999 99.0 99.0  0.58 15.06 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 07 20 999 99.0 99.0  0.56 15.06 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 09 20 999 99.0 99.0  0.66 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 10 20 999 99.0 99.0  0.61 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 13 20 999 99.0 99.0  0.65 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 15 20 999 99.0 99.0  0.64 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 17 20 999 99.0 99.0  0.71 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 18 20 999 99.0 99.0  0.83 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 19 20 999 99.0 99.0  0.92 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 21 20 999 99.0 99.0  1.01 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 22 20 999 99.0 99.0  1.05 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 23 20 999 99.0 99.0  1.13 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 00 20 999 99.0 99.0  1.12 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 01 20 999 99.0 99.0  1.12 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 02 20 999 99.0 99.0  1.28 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 03 20 999 99.0 99.0  1.41  8.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 05 20 999 99.0 99.0  1.44  8.26 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 06 20 999 99.0 99.0  1.50  7.76 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 07 20 999 99.0 99.0  1.41 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 08 20 999 99.0 99.0  1.41 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 09 20 999 99.0 99.0  1.43  8.83 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 10 20 999 99.0 99.0  1.44 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 11 20 999 99.0 99.0  1.46 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 12 20 999 99.0 99.0  1.42 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 13 20 999 99.0 99.0  1.44  9.14 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 14 20 999 99.0 99.0  1.53 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 15 20 999 99.0 99.0  1.44  8.53 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 16 20 999 99.0 99.0  1.33  8.53 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 17 20 999 99.0 99.0  1.36 11.13 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 19 20 999 99.0 99.0  1.28 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 20 20 999 99.0 99.0  1.31 12.19 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 21 20 999 99.0 99.0  1.34 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 22 20 999 99.0 99.0  1.29 12.19 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 23 20 999 99.0 99.0  1.36  9.85 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 01 20 999 99.0 99.0  1.51 11.64 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 02 20 999 99.0 99.0  1.60  6.24 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 03 20 999 99.0 99.0  1.80  6.24 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 04 20 999 99.0 99.0  1.86  6.40 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 05 20 999 99.0 99.0  1.96  6.10 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 06 20 999 99.0 99.0  1.74  6.56 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 07 20 999 99.0 99.0  1.74  6.24 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 08 20 999 99.0 99.0  1.94  6.40 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 09 20 999 99.0 99.0  1.95  6.40 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 10 20 999 99.0 99.0  1.91  6.74 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 11 20 999 99.0 99.0  1.96  6.56 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 13 20 999 99.0 99.0  2.00  7.11 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 14 20 999 99.0 99.0  2.03  7.53 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 15 20 999 99.0 99.0  1.91  6.56 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 17 20 999 99.0 99.0  1.72  6.56 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 18 20 999 99.0 99.0  1.75 16.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 19 20 999 99.0 99.0  1.75 15.06 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 20 20 999 99.0 99.0  1.71  8.26 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 21 20 999 99.0 99.0  1.56  7.11 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 22 20 999 99.0 99.0  1.51 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 23 20 999 99.0 99.0  1.57  6.56 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 01 20 999 99.0 99.0  1.72  7.76 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 02 20 999 99.0 99.0  1.70  6.92 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 03 20 999 99.0 99.0  1.65  7.31 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 04 20 999 99.0 99.0  1.55 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 05 20 999 99.0 99.0  1.63  6.56 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 06 20 999 99.0 99.0  1.53 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 07 20 999 99.0 99.0  1.50 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
