YEAR,MONTH,DAY,TIME_PST,TIME_FLAG,SURF_TEMP_C,SURF_FLAG,BOT_TEMP_C,BOT_FLAG
2005,1,1,1115.0,0.0,15.3,0,15.4,0.0
2005,1,2,1200.0,0.0,15.1,0,15.1,0.0
2005,1,3,1030.0,0.0,15.0,0,15.0,0.0
2005,1,4,1115.0,0.0,14.7,0,14.7,0.0
2005,1,5,1130.0,0.0,15.0,0,15.0,0.0
2005,1,6,1100.0,0.0,15.0,0,15.0,0.0
2005,1,7,1045.0,0.0,14.7,0,15.1,0.0
2005,1,8,1130.0,0.0,15.1,0,15.1,0.0
2005,1,9,1130.0,0.0,15.5,0,15.5,0.0
2005,1,10,1100.0,0.0,15.6,0,15.6,0.0
2005,1,11,1030.0,0.0,15.3,0,,0.0
2005,1,12,1115.0,0.0,15.4,0,,0.0
2005,1,13,1530.0,0.0,15.8,0,15.4,0.0
2005,1,14,1045.0,0.0,15.3,0,15.5,0.0
2005,1,15,1200.0,0.0,15.8,0,15.7,0.0
2005,1,16,1145.0,0.0,16.0,0,15.5,0.0
2005,1,17,1600.0,0.0,17.0,0,16.2,0.0
2005,1,18,1530.0,0.0,17.1,0,16.6,0.0
2005,1,19,1130.0,0.0,16.3,0,16.3,0.0
2005,1,20,1115.0,0.0,16.9,0,,0.0
2005,1,21,1125.0,0.0,16.2,0,16.1,0.0
2005,1,22,1115.0,2.0,16.5,0,16.0,0.0
2005,1,23,1050.0,0.0,16.3,0,15.8,0.0
2005,1,24,1100.0,0.0,16.4,0,15.8,0.0
2005,1,25,945.0,0.0,16.5,0,15.9,0.0
2005,1,26,1500.0,0.0,16.6,0,15.8,0.0
2005,1,27,1100.0,0.0,16.6,0,16.0,0.0
2005,1,28,1120.0,0.0,15.4,0,15.6,0.0
2005,1,29,1130.0,0.0,15.6,0,,0.0
2005,1,30,1130.0,0.0,15.8,0,15.8,0.0
2005,1,31,1030.0,0.0,15.2,0,15.2,0.0
2005,2,1,1100.0,0.0,16.0,0,16.0,0.0
2005,2,2,915.0,0.0,15.7,0,15.7,0.0
2005,2,3,1130.0,0.0,16.0,0,15.6,0.0
2005,2,4,1050.0,0.0,15.7,0,15.7,0.0
2005,2,5,1230.0,0.0,15.7,0,15.6,0.0
2005,2,6,930.0,0.0,15.6,0,15.6,0.0
2005,2,7,1030.0,0.0,15.5,0,15.5,0.0
2005,2,8,1100.0,0.0,15.6,0,15.5,0.0
2005,2,9,900.0,0.0,15.6,0,15.2,0.0
2005,2,10,1030.0,0.0,15.7,0,15.2,0.0
2005,2,11,1145.0,2.0,15.7,0,15.3,0.0
2005,2,12,1150.0,2.0,15.3,0,,0.0
2005,2,13,1130.0,0.0,15.8,0,15.4,0.0
2005,2,14,1130.0,0.0,15.6,0,15.4,0.0
2005,2,15,1145.0,0.0,15.6,0,15.3,0.0
2005,2,16,1111.0,0.0,15.8,0,15.5,0.0
2005,2,17,1045.0,0.0,15.8,0,15.8,0.0
2005,2,18,1100.0,0.0,15.7,0,15.6,0.0
2005,2,19,1130.0,2.0,15.7,0,,0.0
2005,2,20,1145.0,0.0,15.6,0,15.5,0.0
2005,2,21,1111.0,0.0,15.7,0,15.7,0.0
2005,2,22,1111.0,0.0,15.8,0,,0.0
2005,2,23,1100.0,0.0,15.7,0,15.7,0.0
2005,2,24,1030.0,0.0,16.1,0,15.7,0.0
2005,2,25,1030.0,0.0,16.3,0,16.2,0.0
2005,2,26,1200.0,0.0,16.4,0,16.4,0.0
2005,2,27,1130.0,0.0,16.3,0,,0.0
2005,2,28,1130.0,0.0,16.4,0,15.9,0.0
2005,3,1,1030.0,0.0,16.9,0,,0.0
2005,3,2,1115.0,0.0,16.7,0,,0.0
2005,3,3,1500.0,0.0,17.2,0,,0.0
2005,3,4,1030.0,0.0,16.6,0,16.6,0.0
